doi,dataset_used,target_variable,top_predictors,performance_metrics,standardized_conclusion,source_category,effect_size,primary_finding,target_domain,target_dimension,predictor_filter_categories
10.5281/zenodo.16778072,TIMSS,Literature synthesis outcome (not student-level prediction),,Best model: LASSO (see outcome_summary for metrics),"Using TIMSS the study leveraged the reported predictors to predict Literature synthesis outcome (not student-level prediction), finding that This paper does not estimate educational achievement effects on student-level outcomes; instead, it constructs an extended cross-country educational quality dataset from 1970–2023 by harmonizing mathematics and science test scores from TIMSS and PISA (plus earlier IEA/IAEP studies) onto the TIMSS 1995 metric (mean 500, SD 100). It anchors PISA to the TIMSS scale using equi-percentile linking and then averages mathematics and science to form a single harmonized achievement measure. Missing country-year observations (581 out of 1212; 48%) are filled using two approaches: linear interpolation/extrapolation (Tscore_INT) and a supervised LASSO regression imputation (Tscore_ML) trained on 80% of the data with 20% validation and grid search with tenfold cross-validation to minimize RMSE. The LASSO model reports RMSE of 17.5 and R² of 0.912 (and an out-of-sample RMSE of 15.7 and R² of 0.905), and the two imputation methods show high agreement (correlation 0.967). The working-age educational quality index Q is then computed using population-weighted aggregation across age cohorts with an assumed return parameter derived from wage-return estimates. This indicates that these patterns have implications for educational policy and instructional practice, though cross-sectional ILSA designs cannot establish causality.",methodology_paper,Best model: LASSO (see outcome_summary for metrics),"Using TIMSS the study leveraged the reported predictors to predict Literature synthesis outcome (not student-level prediction), finding that This paper does not estimate educational achievement effects on student-level outcomes; instead, it constructs an extended cross-country educational quality dataset from 1970–2023 by harmonizing mathematics and science test scores from TIMSS and PISA (plus earlier IEA/IAEP studies) onto the TIMSS 1995 metric (mean 500, SD 100). It anchors PISA to the TIMSS scale using equi-percentile linking and then averages mathematics and science to form a single harmonized achievement measure. Missing country-year observations (581 out of 1212; 48%) are filled using two approaches: linear interpolation/extrapolation (Tscore_INT) and a supervised LASSO regression imputation (Tscore_ML) trained on 80% of the data with 20% validation and grid search with tenfold cross-validation to minimize RMSE. The LASSO model reports RMSE of 17.5 and R² of 0.912 (and an out-of-sample RMSE of 15.7 and R² of 0.905), and the two imputation methods show high agreement (correlation 0.967). The working-age educational quality index Q is then computed using population-weighted aggregation across age cohorts with an assumed return parameter derived from wage-return estimates. This indicates that these patterns have implications for educational policy and instructional practice, though cross-sectional ILSA designs cannot establish causality.",Other / Unspecified,Other,
10.21031/epod.1525454,PISA 2018 (Lebanon) Intercultural communicative awareness (Awacom) items,Item3 response (Awacom),"Item1 intercultural awareness, Item2 intercultural awareness, Item4 intercultural awareness, Item5 intercultural awareness, Item6 intercultural awareness","Best ANN model (Model1) selected by RMSE closeness across all/train/test: RMSE All=.619, Train=.618, Test=.623. Similarity between predicted vs actual Item3: Match ratio=.63; marginal homogeneity test p>.05; Kappa=.42 (moderate). Construct validity/reliability: for predicted subset RMSEA=.106, CFI=.965, TLI=.948, R-square=.983, Loading=.992, Alpha=.903 (vs actual subset RMSEA=.081, CFI=.972, TLI=.959, R-square=.613, Loading=.783, Alpha=.891).","Using PISA 2018 (Lebanon) Awacom item the study leveraged Item1, Item2, Item4, Item5, and Item6 responses to predict Item3 responses, finding that predicted and actual Item3 responses overlapped at a moderate level (Kappa=.42; match ratio=.63) while CFA fit indices were only partially weakened. This indicates that ANN-based response prediction within the same affective latent construct can preserve measurement structure and slightly improve reliability, suggesting potential for data augmentation or missing-item recovery in intercultural awareness scales, though the study does not establish causal effects and uses listwise deletion for missing/extreme values.",peer_reviewed_research,"Best ANN model (Model1) selected by RMSE closeness across all/train/test: RMSE All=.619, Train=.618, Test=.623. Similarity between predicted vs actual Item3: Match ratio=.63; marginal homogeneity test p>.05; Kappa=.42 (moderate). Construct validity/reliability: for predicted subset RMSEA=.106, CFI=.965, TLI=.948, R-square=.983, Loading=.992, Alpha=.903 (vs actual subset RMSEA=.081, CFI=.972, TLI=.959, R-square=.613, Loading=.783, Alpha=.891).","Using PISA 2018 (Lebanon) Awacom item the study leveraged Item1, Item2, Item4, Item5, and Item6 responses to predict Item3 responses, finding that predicted and actual Item3 responses overlapped at a moderate level (Kappa=.42; match ratio=.63) while CFA fit indices were only partially weakened. This indicates that ANN-based response prediction within the same affective latent construct can preserve measurement structure and slightly improve reliability, suggesting potential for data augmentation or missing-item recovery in intercultural awareness scales, though the study does not establish causal effects and uses listwise deletion for missing/extreme values.",Other / Unspecified,Other,Student: Attitudinal/Behavioral
10.21031/epod.1525454,PISA 2018 (Lebanon) Intercultural communicative awareness (Awacom) items,Item7 response (Awacom),"Item1 intercultural awareness, Item2 intercultural awareness, Item4 intercultural awareness, Item5 intercultural awareness, Item6 intercultural awareness","Best ANN model (ModelB) selected by smallest/closest RMSE across all/train/test: RMSE All=.708, Train=.695, Test=.734. Similarity between predicted vs actual Item7: Match ratio=.58; marginal homogeneity test p>.05; Kappa=.37 (low). Construct validity/reliability: for predicted subset RMSEA=.111, CFI=.963, TLI=.944, R-square=.942, Loading=.970, Alpha=.909 (vs actual subset RMSEA=.081, CFI=.972, TLI=.959, R-square=.489, Loading=.700, Alpha=.891).","Using PISA 2018 (Lebanon) Awacom item the study leveraged Item1, Item2, Item4, Item5, and Item6 responses to predict Item7 responses, finding that overlap with actual Item7 responses was moderate-to-low (Kappa=.37; match ratio=.58) and that model fit indices were partially weakened but remained strong. This indicates that ANN prediction is less accurate for Item7 specifically (consistent with non-linear sensitivity patterns), yet predicted items can still improve factor loadings/variance explained and reliability, suggesting targeted support for scale scoring where some items are harder to predict.",peer_reviewed_research,"Best ANN model (ModelB) selected by smallest/closest RMSE across all/train/test: RMSE All=.708, Train=.695, Test=.734. Similarity between predicted vs actual Item7: Match ratio=.58; marginal homogeneity test p>.05; Kappa=.37 (low). Construct validity/reliability: for predicted subset RMSEA=.111, CFI=.963, TLI=.944, R-square=.942, Loading=.970, Alpha=.909 (vs actual subset RMSEA=.081, CFI=.972, TLI=.959, R-square=.489, Loading=.700, Alpha=.891).","Using PISA 2018 (Lebanon) Awacom item the study leveraged Item1, Item2, Item4, Item5, and Item6 responses to predict Item7 responses, finding that overlap with actual Item7 responses was moderate-to-low (Kappa=.37; match ratio=.58) and that model fit indices were partially weakened but remained strong. This indicates that ANN prediction is less accurate for Item7 specifically (consistent with non-linear sensitivity patterns), yet predicted items can still improve factor loadings/variance explained and reliability, suggesting targeted support for scale scoring where some items are harder to predict.",Other / Unspecified,Other,Student: Attitudinal/Behavioral
10.1007/s11336-020-09743-0,PIAAC 2012 PSTRE (US) Item U01a process data,Dominant response processes (clique structure from action patterns),"Age, PSTRE plausible values","Not reported (graph-based clustering outputs: number of edges deleted and number of cliques; no predictive accuracy metric). Action-based similarity: 15,385 edges with 60.57% deleted; modified time-related similarity: 4,577 edges with 70.48% deleted; original similarity: 1,006 edges with 73.06% deleted. Edited graphs yield 30, 73, and 140 cliques (action-based, modified, original).","Using PIAAC 2012 PSTRE (US) Item U01a process data, the study leveraged Age and PSTRE plausible values as external covariates to interpret the discovered dominant response processes, finding that incorporating action-level times into the action-pattern similarity substantially increased edge deletions and produced more, smaller, and more differentiated cliques than action-only similarity. This indicates that fine-grained timing information can improve the granularity and interpretability of response-process typologies for interactive assessment design, though the clustering is exploratory and not a supervised predictive model.",peer_reviewed_research,"Not reported (graph-based clustering outputs: number of edges deleted and number of cliques; no predictive accuracy metric). Action-based similarity: 15,385 edges with 60.57% deleted; modified time-related similarity: 4,577 edges with 70.48% deleted; original similarity: 1,006 edges with 73.06% deleted. Edited graphs yield 30, 73, and 140 cliques (action-based, modified, original).","Using PIAAC 2012 PSTRE (US) Item U01a process data, the study leveraged Age and PSTRE plausible values as external covariates to interpret the discovered dominant response processes, finding that incorporating action-level times into the action-pattern similarity substantially increased edge deletions and produced more, smaller, and more differentiated cliques than action-only similarity. This indicates that fine-grained timing information can improve the granularity and interpretability of response-process typologies for interactive assessment design, though the clustering is exploratory and not a supervised predictive model.",Other / Unspecified,Other,Student: Demographic; Student: Attitudinal/Behavioral
10.1007/s11336-020-09743-0,PIAAC 2012 PSTRE (US) Item U01a process data,PSTRE performance differentiation across response-process cliques,"Age, PSTRE plausible values","Not reported as a single model metric; reported descriptive PV summaries by clique. The paper states: action-only dominant processes were not predictive of proficiency levels, while within-strategy groups, lower time on the most common LCS tended to correspond to higher PSTRE PVs; age showed a similar pattern (older examinees typically required more time on the most common LCS, and Clique 4b had the highest mean age and highest median time on the most common LCS).","Using PIAAC 2012 PSTRE (US) Item U01a process data, the study leveraged Age and PSTRE plausible values to examine whether the discovered response-process cliques carry information about proficiency, finding that action-only dominant strategies did not predict PSTRE proficiency levels but that adding action-level timing supported further differentiation within strategies. This indicates that assessment analytics should incorporate action-level timing (not just action types or total time) when using process data to support validity arguments about proficiency-related response processes, while causality cannot be inferred from these descriptive associations.",peer_reviewed_research,"Not reported as a single model metric; reported descriptive PV summaries by clique. The paper states: action-only dominant processes were not predictive of proficiency levels, while within-strategy groups, lower time on the most common LCS tended to correspond to higher PSTRE PVs; age showed a similar pattern (older examinees typically required more time on the most common LCS, and Clique 4b had the highest mean age and highest median time on the most common LCS).","Using PIAAC 2012 PSTRE (US) Item U01a process data, the study leveraged Age and PSTRE plausible values to examine whether the discovered response-process cliques carry information about proficiency, finding that action-only dominant strategies did not predict PSTRE proficiency levels but that adding action-level timing supported further differentiation within strategies. This indicates that assessment analytics should incorporate action-level timing (not just action types or total time) when using process data to support validity arguments about proficiency-related response processes, while causality cannot be inferred from these descriptive associations.",Composite / Multi-Domain,Cognitive Achievement,Student: Demographic; Student: Attitudinal/Behavioral
10.1111/bmsp.12203,PIAAC 2012 PSTRE process data (14 items; respondent–item level),Binary item outcome (fully corrected vs not),"Attentiveness feature, Sequence length (log)",Derived-variable reconstruction: prediction accuracy > 0.80 for all 93 derived variables; 75/93 variables accuracy > 0.90; 35 variables accuracy > 0.975. Cross-item outcome prediction: process-model improves prediction accuracy over baseline model for many item pairs (exact aggregate metric not reported).,"Using PIAAC 2012 PSTRE process data (14 items) the study leveraged autoencoder-derived process features—especially attentiveness-related and sequence-length-related features—to predict binary item outcomes and other derived process indicators, finding that process features reconstruct derived variables with high accuracy (all >0.80; 75 >0.90; 35 >0.975). This indicates that response-process information can substantially improve the prediction of item correctness beyond using final outcomes alone, suggesting that assessment analytics and scoring models could incorporate process-derived latent features to better diagnose performance and error patterns, though the paper does not report survey-weighted inference or a missing-data strategy.",peer_reviewed_research,Derived-variable reconstruction: prediction accuracy > 0.80 for all 93 derived variables; 75/93 variables accuracy > 0.90; 35 variables accuracy > 0.975. Cross-item outcome prediction: process-model improves prediction accuracy over baseline model for many item pairs (exact aggregate metric not reported).,"Using PIAAC 2012 PSTRE process data (14 items) the study leveraged autoencoder-derived process features—especially attentiveness-related and sequence-length-related features—to predict binary item outcomes and other derived process indicators, finding that process features reconstruct derived variables with high accuracy (all >0.80; 75 >0.90; 35 >0.975). This indicates that response-process information can substantially improve the prediction of item correctness beyond using final outcomes alone, suggesting that assessment analytics and scoring models could incorporate process-derived latent features to better diagnose performance and error patterns, though the paper does not report survey-weighted inference or a missing-data strategy.",Other / Unspecified,Other,Student: Attitudinal/Behavioral; Student: Process Data
10.1111/bmsp.12203,PIAAC 2012 PSTRE process data (14 items; respondent–item level),Literacy score prediction (continuous),"Attentiveness feature, Sequence length (log)",Out-of-sample R2 (OSR2): process model produces higher OSR2 than baseline for literacy across item-pairing experiments; exact OSR2 values not numerically tabulated in the excerpt. Process model based on fewer items can match baseline performance: number of items needed for similar OSR2 to baseline with all 14 items is 5 for literacy.,"Using PIAAC 2012 PSTRE process data the study leveraged autoencoder-derived process features to predict literacy scores, finding that the process model yields consistently higher out-of-sample R2 than the baseline model using only final outcomes and that only 5 items’ process features are needed to reach roughly the baseline OSR2 achieved with all 14 items. This indicates that process-aware feature extraction can improve efficiency and predictive validity when estimating broader competencies from limited item information, though the study’s predictive gains may be sensitive to unreported PV/score scaling details and the lack of documented complex-survey weighting.",peer_reviewed_research,Out-of-sample R2 (OSR2): process model produces higher OSR2 than baseline for literacy across item-pairing experiments; exact OSR2 values not numerically tabulated in the excerpt. Process model based on fewer items can match baseline performance: number of items needed for similar OSR2 to baseline with all 14 items is 5 for literacy.,"Using PIAAC 2012 PSTRE process data the study leveraged autoencoder-derived process features to predict literacy scores, finding that the process model yields consistently higher out-of-sample R2 than the baseline model using only final outcomes and that only 5 items’ process features are needed to reach roughly the baseline OSR2 achieved with all 14 items. This indicates that process-aware feature extraction can improve efficiency and predictive validity when estimating broader competencies from limited item information, though the study’s predictive gains may be sensitive to unreported PV/score scaling details and the lack of documented complex-survey weighting.",Composite / Multi-Domain,Cognitive Achievement,Student: Attitudinal/Behavioral; Student: Process Data
10.1111/bmsp.12203,PIAAC 2012 PSTRE process data (14 items; respondent–item level),Numeracy score prediction (continuous),"Attentiveness feature, Sequence length (log)",Out-of-sample R2 (OSR2): process model produces higher OSR2 than baseline for numeracy across item-pairing experiments; exact OSR2 values not numerically tabulated in the excerpt. Number of items needed for similar OSR2 to baseline with all 14 items is 8 for numeracy.,"Using PIAAC 2012 PSTRE process data the study leveraged autoencoder-derived process features to predict numeracy scores, finding that process features improve out-of-sample R2 relative to baseline models and that approximately 8 items’ process information can achieve OSR2 comparable to the baseline using all 14 items. This indicates that incorporating latent process representations can strengthen competency estimation from interactive tasks, supporting the use of process data in adaptive reporting or diagnostic analytics, while causality cannot be inferred and the paper does not document how missingness in background/score variables was handled.",peer_reviewed_research,Out-of-sample R2 (OSR2): process model produces higher OSR2 than baseline for numeracy across item-pairing experiments; exact OSR2 values not numerically tabulated in the excerpt. Number of items needed for similar OSR2 to baseline with all 14 items is 8 for numeracy.,"Using PIAAC 2012 PSTRE process data the study leveraged autoencoder-derived process features to predict numeracy scores, finding that process features improve out-of-sample R2 relative to baseline models and that approximately 8 items’ process information can achieve OSR2 comparable to the baseline using all 14 items. This indicates that incorporating latent process representations can strengthen competency estimation from interactive tasks, supporting the use of process data in adaptive reporting or diagnostic analytics, while causality cannot be inferred and the paper does not document how missingness in background/score variables was handled.",Mathematics,Cognitive Achievement,Student: Attitudinal/Behavioral; Student: Process Data
10.1111/bmsp.12203,PIAAC 2012 PSTRE process data (14 items; subset with all 14 items),Gender prediction (binary classification),"Attentiveness feature, Sequence length (log)",Baseline gender prediction accuracy: 0.55 (only 0.02 above female proportion in test set). Process model accuracy: up to 0.63 (almost always higher than baseline).,"Using PIAAC 2012 PSTRE process data restricted to respondents who answered all 14 items, the study leveraged autoencoder-derived process features to predict gender, finding that baseline accuracy was 0.55 while the process model achieved up to 0.63 and was consistently higher than baseline. This indicates that final outcomes may mask systematic differences in how groups interact with technology-rich tasks, suggesting that process-informed analytics could support fairness monitoring and targeted instructional support, though the study does not report survey-weighted estimation and uses predictive performance rather than causal identification.",peer_reviewed_research,Baseline gender prediction accuracy: 0.55 (only 0.02 above female proportion in test set). Process model accuracy: up to 0.63 (almost always higher than baseline).,"Using PIAAC 2012 PSTRE process data restricted to respondents who answered all 14 items, the study leveraged autoencoder-derived process features to predict gender, finding that baseline accuracy was 0.55 while the process model achieved up to 0.63 and was consistently higher than baseline. This indicates that final outcomes may mask systematic differences in how groups interact with technology-rich tasks, suggesting that process-informed analytics could support fairness monitoring and targeted instructional support, though the study does not report survey-weighted estimation and uses predictive performance rather than causal identification.",Other / Unspecified,Other,Student: Attitudinal/Behavioral; Student: Process Data
10.1111/bmsp.12203,PIAAC 2012 PSTRE process data (14 items; subset with all 14 items),Age prediction (continuous),"Attentiveness feature, Sequence length (log)",Out-of-sample R2 (OSR2): baseline model OSR2 barely improves with more items; process model OSR2 increases with more items and is about twice as high as baseline when all 14 items are included. Exact OSR2 values not numerically tabulated in the excerpt.,"Using PIAAC 2012 PSTRE process data restricted to respondents who answered all 14 items, the study leveraged autoencoder-derived process features to predict age, finding that process-based models substantially outperform outcome-only baselines (about twice the OSR2 when all 14 items are included). This indicates that response-process representations capture age-related differences in interaction strategies (e.g., menu navigation vs drag-and-drop), implying that assessment interpretation and accessibility design could benefit from process-aware diagnostics, while the paper does not provide a documented missing-data and weighting strategy.",peer_reviewed_research,Out-of-sample R2 (OSR2): baseline model OSR2 barely improves with more items; process model OSR2 increases with more items and is about twice as high as baseline when all 14 items are included. Exact OSR2 values not numerically tabulated in the excerpt.,"Using PIAAC 2012 PSTRE process data restricted to respondents who answered all 14 items, the study leveraged autoencoder-derived process features to predict age, finding that process-based models substantially outperform outcome-only baselines (about twice the OSR2 when all 14 items are included). This indicates that response-process representations capture age-related differences in interaction strategies (e.g., menu navigation vs drag-and-drop), implying that assessment interpretation and accessibility design could benefit from process-aware diagnostics, while the paper does not provide a documented missing-data and weighting strategy.",Other / Unspecified,Other,Student: Attitudinal/Behavioral; Student: Process Data
